idgrupo,Descripcion,Cuatrimestre
KkQQS63qQx9QCJhRM,FORMULACION DE PROYECTOS,4
ZmY8tfjpZcMRWfZNr,ING EN SISTEMAS COMPUTACIONALES_Mixto,6
ywabX9Yr3B5itKWcH,ING GESTIoN EMPRESARIAL,4
LrA7gSBf32K7Y4ddN,ING GESTIoN EMPRESARIAL,1
EWp22uPtLenvH4QT8,INGENIERiA EN AGRONEGOCIOS,3
8JoN8wtdvzBywyZWa,INGENIERIA EN GESTIO EMPRESARIAL,3
tHqghMMDtRLhRt7PM,INGENIERIA EN GESTIO EMPRESARIAL,6
Xgq4WPgKPy5EZxNii,INGENIERIA EN GESTIO EMPRESARIAL,3
KbjTYoTym2MSrWrsQ,INGENIERIA EN GESTIO EMPRESARIAL,5
Wx52uv7Y9ApGFH3Es,INGENIERIA EN GESTIoN EMPRESARIAL,2
JoJc7o9bhgkzbyhs4,Ingenieria en Gestion Empresarial,1
PzXe2eHwbwQdNPoTQ,INGENIERIA EN SISTEMAS COMPUTACIONALES,2
fTpY72LphNWonrSBy,INGENIERIA EN SISTEMAS COMPUTACIONALES,1
KXD5nBWqgcJHspiaW,INGENIERIA EN SISTEMAS COMPUTACIONALES,2
ghbAiDE9TSPcm8vAr,Ingenieria en Sistemas Computacionales,6
EBjc67jd6ppHehuci,Ingenieria en Sistemas Computacionales,2
fpEYAhvdyHsXeqDBb,Ingenieria en Sistemas Computacionales Semi-Escolarizada,1
xK7uAHgxoSZrhtSaG,LA LICENCIATURA EN ENFERMERIA SEMI-ESCOLARIZADA,6
8Sx7KLhjaN7MgKaER,LIC EN ADMINISTRACIoN DE EMPRESAS,4
hpLWvv5LHzLpHEadQ,LIC EN DERECHO,6
SsBafrN8scPB3bXTh,LIC EN MERCADOTECNIA EJE 21,5
NJxxyMxfjFNQAHBXv,LIC EN PSICOLOGiA ORGANIZACIONAL,1
37o9DkYmoriiAqJH7,LIC. ADMINISTRACIoN,2
v3e6L6PYiSr9aTnCj,LIC. CONTABILIDAD FINANCIERA,1
eo4g7rb5WbfwSHznD,Lic. en Contabilidad Financiera,4
aerXzmd78bW6Jnvcq,LIC. PSICOLOGiA ORGANIZACIONAL,3
ZfvKBgjutdxMJagoh,Licenciatura Derecho (MATUTINO),5
KmcnHt3qeSGXJDCMf,Licenciatura Derecho (VESPERTINO),4
R82GYrJ5k68YurBha,Licenciatura en Administracion,5
v4bPeXvZj5zSWDdTh,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS EJECUTIVO,5
Mz7Ysxp8HbyQgpYbd,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS MIXTA,1
K8RMLPDQGkDsjb9BT,LICENCIATURA EN ADMINISTRACIoN CON ENFOQUE EN RECURSOS HUMANOS MIXTA,3
PbvENugdt4XCAxMBd,LICENCIATURA EN ADMINISTRACIoN DE EMPRESAS,6
